,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
0,Tastefully Finished 3 Bedroom Terrace, Chisco Ikate Ikate Elegushi Lekki Lagos ,85000000,3,3,4,2023-05-27,Lagos,Lekki
1,3bedroom Terrace, Sangotedo Ajah Lagos ,45000000,3,0,0,2023-05-29,Lagos,Ajah
2,4bedroom Top Notch, 2nd Toll Gate Lekki Lekki Lagos ,75000000,4,0,0,2023-05-29,Lagos,Lekki
3,Executive 4 Bedroom Fully Detached Duplex With Ample Parking Space, Nicon Town Estate Lekki Lagos ,250000000,4,4,5,2023-05-29,Lagos,Lekki
4,Magnificent Luxury 4 Bedroom Semi Detached With Bq, Agungi Lekki Lagos ,130000000,4,4,5,2023-05-29,Lagos,Lekki
5,Newly Built 4 Bedroom And 1 Bq Fully Serviced Terrace Duplex, Chevron Drive Lekki Lagos ,72000000,4,0,0,2023-05-29,Lagos,Lekki
6,5 Bedroom Detached Duplex And 1bq, Chevron Drive Lekki Lagos ,125000000,5,0,0,2023-05-29,Lagos,Lekki
7,4 Bedroom Semidetached Duplex And 1bq, Chevron Drive Lekki Lagos ,85000000,4,0,0,2023-05-29,Lagos,Lekki
8,4 Bedroom Semidetached Duplex And 1bq, Chevron Drive Lekki Lagos ,85000000,4,0,0,2023-05-29,Lagos,Lekki
9,Newly Built 4 Bedroom And 1 Bq Fully Serviced Terrace Duplex, Chevron Drive Lekki Lagos ,100000000,4,0,0,2023-05-29,Lagos,Lekki
10,Tasteful Luxury Of 4 Bedroom Terrace Duplex For Sale, Atlantic View Estate Igbo Efon. Igbo Efon Lekki Lagos ,95000000,4,4,5,2023-05-29,Lagos,Lekki
11,Spacious 4 Bedroom Terrace Duplex And A Bq In An Estate, Ikate Elegushi Lekki Lagos ,185000000,4,0,0,2023-05-29,Lagos,Lekki
12,4 Bedroom Detached Duplex, Lekki Lagos ,130000000,4,0,0,2023-05-29,Lagos,Lekki
13,5 Bedroom Detached Duplex, Lekki Lagos ,160000000,5,0,0,2023-05-29,Lagos,Lekki
14,4 Bedroom Semidetached Duplex, Mega Chicken Ikota Lekki Lagos ,79000000,4,0,0,2023-05-29,Lagos,Lekki
15,3 Bedroom Semi Detached Duplex With Bq, Ako Ado Behind Lbs Ajah Lagos ,65000000,3,3,4,2023-05-29,Lagos,Ajah
16,Decently Finished 4 Bedroom Semi Detached Duplex, Lekki Ajah Lagos ,85000000,4,5,6,2023-05-29,Lagos,Ajah
17,"*🔆fully Automated Contemporary Styled 5 Bed Fully Detached Duplex With Private Elevator, Cinema And Swimming Pool", Ikoyi Ikoyi Lagos ,1200000000,5,5,6,2023-05-29,Lagos,Ikoyi
18,*🔆value Centric 4 Bed Semi Detached Duplex🔆* , Idado Lekki Lagos ,90000000,4,4,5,2023-05-29,Lagos,Lekki
19,"*🔆magnificent 4 Bed Semi Detached Duplex With Elevator, Pool, Study, Gym, Rooftop And Cinema", Lekki Phase 1 Lekki Lagos ,370000000,4,4,5,2023-05-29,Lagos,Lekki
